X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400541.359999999,135040.969999999,24183831,2024/11/26 18:11:29+00,DAY,OTHERS,MOTOR VEHICLE THEFT,416 - 499 BLOCK OF 9TH STREET SE,400541.36,135040.97,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.883205242,-76.9937605665,CAPITOL HILL,2024/11/26 17:38:00+00,2024/11/26 19:00:00+00,679449122,
397241.549999997,140302.66,24185112,2024/11/29 15:00:26+00,DAY,OTHERS,THEFT/OTHER,1326 - 1399 BLOCK OF PARK ROAD NW,397241.55,140302.66,1,1A,3,302,Cluster 2,002900 2,002900,Precinct 41,38.9306002081,-77.0318135912,,2024/11/29 13:53:00+00,2024/11/29 14:15:00+00,679449123,
400474.700000003,134315.629999999,24422638,2024/08/06 20:02:36+00,EVENING,OTHERS,THEFT F/AUTO,800 - 899 BLOCK OF POTOMAC AVENUE SE,400474.7,134315.63,8,8F,1,106,Cluster 27,007203 2,007203,Precinct 131,38.8766711347,-76.9945293559,CAPITOL RIVERFRONT,2024/07/18 07:33:00+00,2024/07/18 08:00:00+00,679449130,
395486.780000001,139856.629999999,24423174,2024/09/17 22:41:47+00,EVENING,OTHERS,THEFT/OTHER,2700 - 2799 BLOCK OF WOODLEY PLACE NW,395486.78,139856.63,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,38.9265749707,-77.0520486635,,2024/08/30 18:12:00+00,2024/08/30 18:13:00+00,679449131,
400435.869999997,134715.77,24077634,2024/05/23 20:21:18+00,EVENING,OTHERS,THEFT/OTHER,700 - 799 BLOCK OF 8TH STREET SE,400435.87,134715.77,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.880275773,-76.9949765956,CAPITOL HILL,2024/05/23 19:37:00+00,2024/05/23 20:00:00+00,679449132,
397628.590000004,144543.550000001,24079027,2024/05/26 07:13:54+00,MIDNIGHT,OTHERS,THEFT/OTHER,6450 - 6499 BLOCK OF GEORGIA AVENUE NW,397628.59,144543.55,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 61,38.9688044384,-77.0273644662,,2024/05/23 21:00:00+00,2024/05/23 21:05:00+00,679449133,
404600.899899997,136168.3774,24082391,2024/05/31 20:45:18+00,EVENING,OTHERS,THEFT/OTHER,300 - 499 BLOCK OF 40TH STREET NE,404600.899906223,136168.377435795,7,7F,6,603,Cluster 32,009603 2,009603,Precinct 102,38.8933494806,-76.9469648801,,2024/05/31 19:10:00+00,2024/05/31 19:12:00+00,679449134,
403767.210000001,139839.789999999,24056401,2024/04/15 15:19:58+00,DAY,OTHERS,THEFT F/AUTO,3400 - 3599 BLOCK OF COMMODORE JOSHUA BARNEY DRIVE NE,403767.21,139839.79,5,5C,5,503,Cluster 24,009000 2,009000,Precinct 139,38.9264267856,-76.9565547802,,2024/04/15 14:24:00+00,2024/04/15 14:50:00+00,679449135,
400436.0625,135043.815099999,24186602,2024/12/02 17:02:31+00,DAY,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 8TH STREET SE,400436.062494358,135043.815098751,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.8832309303,-76.9949741689,CAPITOL HILL,2024/12/02 15:09:00+00,2024/12/02 15:15:00+00,679449136,
394895.399999999,140924.899999999,24187689,2024/12/04 14:28:58+00,DAY,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF CONNECTICUT AVENUE NW,394895.4,140924.9,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9361950358,-77.0588766912,,2024/12/04 13:38:00+00,,679449137,
404553.07,135353.050000001,24188212,2024/12/05 12:07:56+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3931 - 3974 BLOCK OF C STREET SE,404553.07,135353.05,7,7F,6,603,Cluster 32,007703 2,007703,Precinct 103,38.8860049556,-76.9475216238,,2024/12/05 09:59:00+00,2024/12/05 10:10:00+00,679449138,
401110.170000002,139352.260000002,24191411,2024/12/12 05:07:55+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1300 - 1399 BLOCK OF SARATOGA AVENUE NE,401110.17,139352.26,5,5C,5,505,Cluster 22,009102 3,009102,Precinct 72,38.9220423341,-76.9871977902,,2024/12/10 21:58:00+00,2024/12/11 00:06:00+00,679449139,
399075.710000001,128801.539999999,24193117,2024/12/14 00:38:22+00,EVENING,OTHERS,THEFT F/AUTO,1 - 199 BLOCK OF DARRINGTON STREET SW,399075.71,128801.54,8,8D,7,708,Cluster 39,009807 3,009807,Precinct 126,38.8269974687,-77.0106445001,,2024/12/13 08:00:00+00,2024/12/14 00:12:00+00,679449140,
405084.4252,135772.236299999,24142026,2024/09/14 19:29:29+00,EVENING,OTHERS,THEFT F/AUTO,4100 - 4276 BLOCK OF EAST CAPITOL STREET,405084.425218671,135772.236347427,7,7F,6,603,Cluster 32,009603 1,009603,Precinct 102,38.8897782316,-76.9413941594,,2024/09/14 19:25:00+00,2024/09/14 19:30:00+00,679449141,
395578.219999999,137084.809999999,24143086,2024/09/16 18:17:45+00,DAY,OTHERS,THEFT/OTHER,916 - 999 BLOCK OF NEW HAMPSHIRE AVENUE NW,395578.22,137084.81,2,2A,2,207,Cluster 5,005601 3,005601,Precinct 3,38.9016059553,-77.0509762828,,2024/09/16 14:00:00+00,2024/09/16 14:15:00+00,679449142,
401822.259999998,136243.84,24130764,2024/08/25 13:27:50+00,DAY,GUN,ROBBERY,300 - 399 BLOCK OF 18TH STREET NE,401822.26,136243.84,7,7D,5,507,Cluster 25,007901 2,007901,Precinct 81,38.894039426,-76.9789943903,,2024/08/25 11:35:00+00,2024/08/25 13:20:00+00,679449143,
400130.535800003,128889.097399998,24131858,2024/08/27 15:36:57+00,DAY,OTHERS,ASSAULT W/DANGEROUS WEAPON,4200 - 4283 BLOCK OF 6TH STREET SE,400130.535806074,128889.09739704,8,8E,7,706,Cluster 39,009811 1,009811,Precinct 125,38.8277867025,-76.9984966799,,2024/08/27 12:20:00+00,2024/08/27 12:50:00+00,679449144,
397326.460000001,143751.91,24133508,2024/08/30 12:20:43+00,DAY,OTHERS,THEFT F/AUTO,1300 - 1331 BLOCK OF MISSOURI AVENUE NW,397326.46,143751.91,4,4E,4,403,Cluster 18,002001 1,002001,Precinct 53,38.961672282,-77.0308477548,,2024/08/29 19:00:00+00,2024/08/30 11:30:00+00,679449145,
400042.219999999,130453.420000002,24133584,2024/08/30 17:13:42+00,DAY,OTHERS,ROBBERY,5TH STREET SE AND SAVANNAH STREET SE,400042.21999799,130453.42002249,8,8C,7,705,Cluster 39,009804 2,009804,Precinct 122,38.8418788455,-76.999513676,,2024/08/30 14:05:00+00,2024/08/30 16:00:00+00,679449146,
397229.130000003,138792.68,24135486,2024/09/03 09:25:23+00,MIDNIGHT,OTHERS,THEFT/OTHER,U STREET NW AND 14TH STREET NW,397229.13001138,138792.67999823,2,1B,3,305,Cluster 3,004402 1,004402,Precinct 141,38.9169977879,-77.0319507375,,2024/09/03 01:44:00+00,2024/09/03 02:13:00+00,679449147,
396455.479999997,139555.850000001,24136435,2024/09/04 17:14:31+00,DAY,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455.48,139555.85,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238698908,-77.0408755892,ADAMS MORGAN,2024/09/04 16:50:00+00,2024/09/04 16:58:00+00,679449148,
397802.409999996,139380.170000002,24138227,2024/09/07 22:57:01+00,EVENING,OTHERS,THEFT F/AUTO,2300 - 2599 BLOCK OF SHERMAN AVENUE NW,397802.41,139380.17,1,1E,3,304,Cluster 2,003500 2,003500,Precinct 37,38.9222917098,-77.0253421609,,2024/09/06 22:00:00+00,2024/09/07 19:00:00+00,679449149,
400260.909999996,140497.989999998,24092711,2024/06/18 15:58:05+00,DAY,OTHERS,BURGLARY,600 - 699 BLOCK OF MONROE STREET NE,400260.91,140497.99,5,5F,5,502,Cluster 21,009201 2,009201,Precinct 74,38.9323640917,-76.996990814,,2024/06/17 08:00:00+00,2024/06/18 16:34:00+00,679449150,
405443.890000001,135696.510000002,24095127,2024/06/22 17:35:54+00,DAY,OTHERS,THEFT/OTHER,4510 - 4549 BLOCK OF BENNING ROAD SE,405443.89,135696.51,7,7E,6,604,Cluster 33,009906 1,009906,Precinct 104,38.889093908,-76.9372513747,,2024/06/22 17:03:00+00,2024/06/22 17:31:00+00,679449151,
397430.590000004,137783.530000001,24095246,2024/06/23 01:34:25+00,EVENING,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF 13TH STREET NW,397430.59,137783.53,2,2F,3,307,Cluster 7,005003 1,005003,Precinct 17,38.9079076361,-77.0296239384,,2024/06/22 20:11:00+00,2024/06/22 21:01:00+00,679449152,
401701.350000001,136862.760000002,24095891,2024/06/23 23:42:31+00,EVENING,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2024/06/23 22:30:00+00,2024/06/23 22:45:00+00,679449153,
401701.350000001,136862.760000002,24140220,2024/09/11 20:56:07+00,EVENING,OTHERS,THEFT/OTHER,1516 - 1699 BLOCK OF BENNING ROAD NE,401701.35,136862.76,5,5D,5,507,Cluster 23,008904 1,008904,Precinct 79,38.8996151246,-76.9803866148,,2024/09/11 14:52:00+00,2024/09/11 16:43:00+00,679449154,
401542.640100002,133586.489999998,24140465,2024/09/11 23:08:27+00,EVENING,GUN,ROBBERY,1600 - 1699 BLOCK OF 16TH STREET SE,401542.640063384,133586.489977399,8,8A,6,607,Cluster 34,007601 5,007601,Precinct 140,38.8701015245,-76.9822235984,,2024/09/11 21:09:00+00,2024/09/11 23:07:00+00,679449155,
397868.289999999,135116.460000001,24070206,2024/05/10 23:43:20+00,EVENING,GUN,ROBBERY,400 - 999 BLOCK OF L'ENFANT PLAZA SW,397868.29,135116.46,6,6D,1,103,Cluster 9,010202 6,010202,Precinct 142,38.8838828674,-77.0245692132,SOUTHWEST,2024/05/10 18:49:00+00,2024/05/10 20:30:00+00,679449156,
397162.060000002,140182.43,24070258,2024/05/10 21:31:25+00,EVENING,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2024/05/10 20:42:00+00,2024/05/10 21:14:00+00,679449157,
392894.140000001,139415.449999999,24072260,2024/05/14 17:56:47+00,DAY,OTHERS,THEFT F/AUTO,2300 - 2599 BLOCK OF 42ND STREET NW,392894.14,139415.45,3,3B,2,204,Cluster 14,000702 1,000702,Precinct 11,38.9225835416,-77.0819436776,,2024/05/14 13:00:00+00,2024/05/14 15:55:00+00,679449158,
395499.25,139592.960000001,24073904,2024/05/17 14:45:37+00,DAY,OTHERS,THEFT/OTHER,2600 - 2649 BLOCK OF CONNECTICUT AVENUE NW,395499.25,139592.96,3,3C,2,204,Cluster 15,000501 1,000501,Precinct 136,38.9241998122,-77.0519031245,,2024/05/17 13:27:00+00,2024/05/17 14:40:00+00,679449159,
400383.149999999,141346.530000001,24076153,2024/05/21 18:29:42+00,DAY,OTHERS,THEFT F/AUTO,4000 - 4099 BLOCK OF 7TH STREET NE,400383.15,141346.53,5,5B,4,405,Cluster 20,009504 1,009504,Precinct 68,38.9400079483,-76.9955804942,,2024/05/21 13:25:00+00,2024/05/21 15:35:00+00,679449160,
401859.990000002,136018.460000001,24077057,2024/05/22 22:51:36+00,EVENING,OTHERS,ROBBERY,1718 - 1899 BLOCK OF CONSTITUTION AVENUE NE,401859.99,136018.46,7,7D,1,108,Cluster 25,008002 2,008002,Precinct 86,38.8920090407,-76.9785600781,,2024/05/22 19:50:00+00,2024/05/22 19:52:00+00,679449161,
397799.859999999,141494.879999999,24077480,2024/05/23 17:14:41+00,DAY,OTHERS,THEFT/OTHER,4100 - 4199 BLOCK OF GEORGIA AVENUE NW,397799.86,141494.88,4,4C,,,Cluster 18,002503 1,002503,Precinct 47,38.9413416569,-77.0253783465,,2024/05/23 14:21:00+00,2024/05/23 14:30:00+00,679449162,
399353.1307,134459.365200002,24080573,2024/05/28 21:13:44+00,EVENING,OTHERS,THEFT F/AUTO,1000 - 1099 BLOCK OF HALF STREET SE,399353.130685353,134459.365178209,6,8F,1,106,Cluster 27,007202 2,007202,Precinct 131,38.8779658481,-77.0074549315,CAPITOL RIVERFRONT,2024/05/28 15:00:00+00,2024/05/28 15:45:00+00,679449163,
400311.240000002,138005.050000001,24081433,2024/05/30 03:29:59+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,501 - 599 BLOCK OF PENN STREET NE,400311.24,138005.05,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9099068649,-76.9964114669,,2024/05/30 02:53:00+00,2024/05/30 03:30:00+00,679449164,
397795.039999999,139034.760000002,24105264,2024/07/10 00:31:10+00,EVENING,OTHERS,THEFT F/AUTO,900 - 999 BLOCK OF W STREET NW,397795.04,139034.76,1,1B,3,305,Cluster 3,003500 2,003500,Precinct 37,38.9191801261,-77.0254260409,,2024/07/07 03:00:00+00,2024/07/07 16:00:00+00,679449171,
397115.780000001,137977.23,24105491,2024/07/10 11:04:34+00,DAY,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF P STREET NW,397115.78,137977.23,2,2F,2,208,Cluster 7,005203 2,005203,Precinct 16,38.9096515756,-77.0332543444,,2024/07/10 10:19:00+00,2024/07/10 10:23:00+00,679449172,
397085.469999999,142344.98,24143624,2024/09/17 16:00:31+00,DAY,OTHERS,THEFT F/AUTO,1400 - 1499 BLOCK OF DELAFIELD PLACE NW,397085.47,142344.98,4,4E,4,404,Cluster 18,002002 1,002002,Precinct 54,38.948997518,-77.0336223589,,2024/09/17 13:30:00+00,2024/09/17 15:54:00+00,679449173,
396455.479999997,139555.850000001,24148593,2024/09/25 22:53:58+00,EVENING,OTHERS,THEFT/OTHER,1737 - 1776 BLOCK OF COLUMBIA ROAD NW,396455.48,139555.85,1,1C,3,303,Cluster 1,003901 2,003901,Precinct 35,38.9238698908,-77.0408755892,ADAMS MORGAN,2024/09/25 20:31:00+00,2024/09/25 20:35:00+00,679449174,
400557.921700001,132492.211399999,24149396,2024/09/27 02:36:42+00,EVENING,OTHERS,ROBBERY,2500 - 2599 BLOCK OF SHERIDAN ROAD SE,400557.921726471,132492.211416383,8,8B,7,703,Cluster 37,007407 3,007407,Precinct 119,38.8602449874,-76.9935717532,,2024/09/27 01:11:00+00,2024/09/27 02:14:00+00,679449175,
402544.590000004,141101.27,24150361,2024/09/28 19:14:27+00,EVENING,OTHERS,THEFT F/AUTO,2500 - 2599 BLOCK OF RANDOLPH STREET NE,402544.59,141101.27,5,5B,5,503,Cluster 24,009400 3,009400,Precinct 69,38.9377949729,-76.9706499248,,2024/09/28 18:30:00+00,2024/09/28 19:00:00+00,679449176,
397198.399999999,143908.390000001,24050780,2024/04/05 04:00:00+00,MIDNIGHT,KNIFE,HOMICIDE,1328 - 1399 BLOCK OF PEABODY STREET NW,397198.4,143908.39,4,4A,4,402,Cluster 17,001804 3,001804,Precinct 60,38.9630814941,-77.0323259719,,2024/04/05 15:21:00+00,2024/04/05 15:30:00+00,679449182,
403775.57,139530.09,24051500,2024/04/06 23:33:03+00,EVENING,OTHERS,THEFT/OTHER,2470 - 2599 BLOCK OF BALDWIN CRESCENT NE,403775.57,139530.09,5,5C,5,503,Cluster 24,009000 2,009000,Precinct 139,38.9236368742,-76.9564600722,,2024/04/06 20:30:00+00,2024/04/06 20:35:00+00,679449183,
400541.539999999,134375.850000001,24091011,2024/06/15 14:45:21+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1100 - 1149 BLOCK OF 9TH STREET SE,400541.54,134375.85,8,8F,1,106,Cluster 27,007203 2,007203,Precinct 131,38.8772135816,-76.993759016,CAPITOL RIVERFRONT,2024/06/15 02:30:00+00,2024/06/15 13:30:00+00,679449184,
400041.109999999,138778.329999998,24163063,2024/10/21 01:38:07+00,EVENING,GUN,ROBBERY,1900 - 2099 BLOCK OF 5TH STREET NE,400041.11,138778.33,5,5F,5,502,Cluster 21,008702 1,008702,Precinct 75,38.9168728856,-76.9995259639,,2024/10/21 00:10:00+00,2024/10/21 00:15:00+00,679449185,
398088.039999999,139665.27,24163967,2024/10/22 16:59:25+00,DAY,OTHERS,THEFT F/AUTO,600 - 699 BLOCK OF FAIRMONT STREET NW,398088.04,139665.27,1,1E,3,306,Cluster 3,003400 4,003400,Precinct 37,38.9248606496,-77.0220491281,,2024/10/22 14:46:00+00,2024/10/22 15:05:00+00,679449186,
397171.109999999,137408.25,24114517,2024/07/26 19:21:29+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF VERMONT AVENUE NW,397171.11,137408.25,2,2C,2,207,Cluster 8,010100 3,010100,Precinct 17,38.9045261865,-77.0326140595,DOWNTOWN,2024/07/26 18:31:00+00,2024/07/26 19:10:00+00,679449187,
396746.969999999,137976.41,24114608,2024/07/26 23:47:32+00,EVENING,OTHERS,THEFT/OTHER,1600 - 1699 BLOCK OF P STREET NW,396746.97,137976.41,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9096429011,-77.0375066283,,2024/07/26 19:30:00+00,2024/07/26 19:30:00+00,679449188,
398351.100000001,141157.809999999,24009757,2024/01/20 18:46:25+00,DAY,OTHERS,MOTOR VEHICLE THEFT,3800 - 3899 BLOCK OF 5TH STREET NW,398351.1,141157.81,4,4C,4,407,Cluster 18,002400 1,002400,Precinct 45,38.9383064395,-77.0190190505,,2024/01/18 00:00:00+00,2024/01/20 17:00:00+00,679449189,
397826.780000001,138634.190000001,24010604,2024/01/22 16:49:51+00,DAY,OTHERS,THEFT/OTHER,900 - 999 BLOCK OF T STREET NW,397826.78,138634.19,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9155717386,-77.0250587697,,2024/01/22 02:37:00+00,2024/01/22 15:35:00+00,679449190,
396838.799999997,140360.75,24011195,2024/01/23 17:11:40+00,DAY,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF 16TH STREET NW,396838.8,140360.75,1,1D,3,302,Cluster 2,002702 1,002702,Precinct 40,38.931122144,-77.0364588306,,2024/01/23 15:01:00+00,2024/01/23 15:02:00+00,679449191,
399489.479999997,137372.649999999,24105915,2024/07/11 02:34:07+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1150 BLOCK OF 1ST STREET NE,399489.48,137372.65,6,6E,5,501,Cluster 25,010603 3,010603,Precinct 144,38.9042098931,-77.0058857204,NOMA,2024/07/09 23:30:00+00,2024/07/10 02:00:00+00,679449198,
395321.859999999,138635.719999999,24194036,2024/12/15 22:43:26+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2400 - 2499 BLOCK OF CALIFORNIA STREET NW,395321.86,138635.72,2,2D,2,208,Cluster 1,004100 3,004100,Precinct 13,38.9155757574,-77.0539422814,,2024/12/15 18:26:00+00,2024/12/15 20:17:00+00,679449213,
399074.829999998,138550.809999999,24196141,2024/12/19 17:08:39+00,DAY,OTHERS,THEFT F/AUTO,1 - 99 BLOCK OF SEATON PLACE NW,399074.83,138550.81,5,5E,3,308,Cluster 21,003302 1,003302,Precinct 19,38.9148228237,-77.0106677549,,2024/12/19 15:00:00+00,2024/12/19 15:40:00+00,679449214,
397577.630000003,143785.940000001,24199611,2024/12/27 03:50:09+00,EVENING,OTHERS,THEFT/OTHER,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,397577.63,143785.94,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 60,38.9619795615,-77.0279498335,,2024/12/26 22:02:00+00,2024/12/26 22:59:00+00,679449215,
397162.060000002,140182.43,24200056,2024/12/28 08:35:54+00,MIDNIGHT,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2024/12/27 21:19:00+00,2024/12/27 21:29:00+00,679449216,
401606.030000001,136325.559999999,24200596,2024/12/29 03:30:22+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1600 - 1699 BLOCK OF D STREET NE,401606.03,136325.56,7,7D,5,507,Cluster 25,007901 3,007901,Precinct 81,38.8947760114,-76.9814867321,,2024/12/28 21:50:00+00,2024/12/28 22:59:00+00,679449217,
400601.090000004,132359.280000001,24202065,2024/12/31 22:55:51+00,EVENING,OTHERS,THEFT/OTHER,2500 - 2599 BLOCK OF BOWEN ROAD SE,400601.09,132359.28,8,8B,7,703,Cluster 37,007407 3,007407,Precinct 119,38.8590474568,-76.9930744944,,2024/12/13 19:00:00+00,2024/12/13 20:00:00+00,679449218,
395985.759999998,139251.620000001,24422898,2024/08/19 13:22:27+00,DAY,OTHERS,THEFT/OTHER,1900 - 1999 BLOCK OF KALORAMA PLACE NW,395985.76,139251.62,1,1C,3,303,Cluster 1,004001 4,004001,Precinct 25,38.9211272693,-77.0462906448,,2024/08/07 05:30:00+00,2024/08/07 10:30:00+00,679449223,
396523.210000001,137847.129999999,24423314,2024/10/04 23:01:22+00,EVENING,OTHERS,THEFT/OTHER,1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,396523.21,137847.13,2,2B,2,208,Cluster 6,005303 3,005303,Precinct 15,38.9084774459,-77.0400858707,,2024/09/09 12:34:00+00,2024/09/09 21:58:00+00,679449224,
399823.159999996,137425.670000002,24174258,2024/11/09 17:39:38+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 3RD STREET NE,399823.16,137425.67,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.9046876463,-77.0020387796,,2024/11/09 15:04:00+00,2024/11/09 16:04:00+00,679449245,
398988.210000001,144358.530000001,24175339,2024/11/11 18:43:14+00,DAY,OTHERS,THEFT F/AUTO,6250 - 6599 BLOCK OF CHILLUM PLACE NW,398988.21,144358.53,4,4B,4,406,Cluster 19,001702 2,001702,Precinct 64,38.9671403523,-77.011675099,,2024/11/08 22:00:00+00,2024/11/11 08:00:00+00,679449246,
398879.93,136475.059999999,24181339,2024/11/22 04:07:28+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,100 - 199 BLOCK OF E STREET NW,398879.93,136475.06,6,6E,1,101,Cluster 8,005900 2,005900,Precinct 1,38.8961235156,-77.0129116813,DOWNTOWN,2024/11/22 02:28:00+00,2024/11/22 03:00:00+00,679449256,
396547.07,137583.48,24182562,2024/11/24 09:40:18+00,MIDNIGHT,OTHERS,THEFT F/AUTO,1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NW,396547.07,137583.48,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,38.9061024896,-77.0398094498,,2024/11/24 08:00:00+00,2024/11/24 09:30:00+00,679449257,
397228.310000002,137253.239999998,24096670,2024/06/25 05:37:52+00,MIDNIGHT,OTHERS,BURGLARY,1000 - 1099 BLOCK OF 14TH STREET NW,397228.31,137253.24,2,2C,2,209,Cluster 8,010100 3,010100,Precinct 129,38.9031299841,-77.0319539795,DOWNTOWN,2024/06/25 04:08:00+00,2024/06/25 04:12:00+00,679449259,
399823.18,137620.010000002,24096870,2024/06/25 17:20:04+00,DAY,OTHERS,THEFT F/AUTO,1200 - 1299 BLOCK OF 3RD STREET NE,399823.18,137620.01,6,6C,5,501,Cluster 25,010602 4,010602,Precinct 144,38.906438329,-77.0020385991,NOMA,2024/06/25 03:30:00+00,2024/06/25 13:30:00+00,679449260,
